    0.21452E+03    0.89880E+02    0.43670E+02    0.16402E+01
   -0.53894E+02    0.12521E+03    0.32115E+02    0.15067E+01
    0.11412E+02    0.68088E+02    0.42610E+02    0.16295E+01
   -0.93420E+03   -0.31077E+02    0.36925E+02    0.15673E+01
    0.52916E+03    0.82864E+02    0.38132E+02    0.15813E+01
    0.26962E+03    0.99331E+02    0.36664E+02    0.15642E+01
    0.50469E+03    0.54312E+02    0.38181E+02    0.15819E+01
   -0.32825E+02    0.81363E+02    0.37349E+02    0.15723E+01
    0.25204E+03    0.19925E+02    0.41121E+02    0.16141E+01
   -0.83521E+03   -0.50339E+02    0.36891E+02    0.15669E+01
    0.15734E+03    0.71345E+02    0.53386E+02    0.17274E+01
   -0.35368E+03   -0.21773E+02    0.36398E+02    0.15611E+01
    0.26229E+03    0.16135E+03    0.33925E+02    0.15305E+01
    0.24703E+03    0.66943E+02    0.39972E+02    0.16018E+01
    0.11003E+03    0.78216E+02    0.57757E+02    0.17616E+01
    0.17929E+03    0.81528E+02    0.50277E+02    0.17014E+01
   -0.36344E+02    0.12876E+03    0.32349E+02    0.15099E+01
   -0.15388E+03    0.21918E+02    0.36195E+02    0.15587E+01
   -0.41458E+02    0.17738E+03    0.25893E+02    0.14132E+01
   -0.35054E+03   -0.12925E+03    0.36969E+02    0.15678E+01
   -0.21183E+03    0.13298E+03    0.34424E+02    0.15369E+01
   -0.15647E+02    0.15411E+02    0.40219E+02    0.16044E+01
    0.26167E+03    0.10696E+03    0.36235E+02    0.15591E+01
    0.22735E+03   -0.49323E+02    0.41468E+02    0.16177E+01
    0.60010E+02    0.65349E+02    0.49817E+02    0.16974E+01
   -0.76362E+02    0.11841E+03    0.32599E+02    0.15132E+01
    0.10518E+03    0.21344E+01    0.46030E+02    0.16630E+01
   -0.50330E+02    0.17396E+03    0.26824E+02    0.14285E+01
    0.25917E+03    0.10219E+03    0.36820E+02    0.15661E+01
   -0.23949E+02    0.13645E+03    0.32268E+02    0.15088E+01
    0.55014E+02    0.75235E+02    0.50529E+02    0.17035E+01
   -0.33150E+03   -0.65570E+02    0.36694E+02    0.15646E+01
    0.27596E+03    0.15268E+03    0.34596E+02    0.15390E+01
   -0.39965E+02    0.16991E+03    0.26379E+02    0.14213E+01
    0.27263E+03    0.15887E+03    0.34770E+02    0.15412E+01
   -0.61864E+02    0.11480E+03    0.32921E+02    0.15175E+01
   -0.33245E+02    0.15760E+03    0.27962E+02    0.14466E+01
    0.18296E+03    0.91889E+02    0.52110E+02    0.17169E+01
    0.22184E+03    0.70596E+02    0.42461E+02    0.16280E+01
   -0.27666E+02    0.17208E+03    0.25575E+02    0.14078E+01
   -0.40229E+02    0.16483E+03    0.27031E+02    0.14319E+01
   -0.48011E+02    0.14159E+03    0.30115E+02    0.14788E+01
    0.26418E+03    0.16242E+03    0.34669E+02    0.15399E+01
   -0.23434E+02    0.16718E+03    0.26439E+02    0.14222E+01
   -0.17109E+02    0.17349E+03    0.25476E+02    0.14061E+01
    0.26086E+03    0.16228E+03    0.33877E+02    0.15299E+01
    0.75640E+02    0.73338E+02    0.54082E+02    0.17331E+01
    0.26095E+03    0.16458E+03    0.35048E+02    0.15447E+01
   -0.61739E+03    0.32806E+02    0.36639E+02    0.15639E+01
   -0.42771E+02    0.12189E+03    0.32781E+02    0.15156E+01
