3102
131	1 14	1 15	1 8	1 7	0.0129634
132	1 15	1 16	1 8	1 7	0.00755516
133	1 10	1 12	1 8	1 6	0.30757500000000004
134	1 12	1 14	1 8	1 6	0.09132085000000001
135	1 14	1 16	1 8	1 6	0.031863749999999996
136	1 16	1 18	1 8	1 6	0.01319385
137	1 18	1 20	1 8	1 6	0.007298135
138	1 20	1 22	1 8	1 6	0.0044598450000000005
139	1 22	1 24	1 8	1 6	0.0024158599999999997
140	1 11	1 14	1 8	1 5	0.246199
141	1 14	1 17	1 8	1 5	0.0531648
142	1 17	1 20	1 8	1 5	0.0168099
143	1 20	1 23	1 8	1 5	0.00848424
144	1 29	1 32	1 8	1 5	0.001715815
145	1 12	1 16	1 8	1 4	0.2356005
146	1 16	1 20	1 8	1 4	0.04753725
147	1 20	1 24	1 8	1 4	0.0200035
148	1 24	1 28	1 8	1 4	0.011005750000000002
149	1 28	1 32	1 8	1 4	0.006668385000000001
150	1 32	1 36	1 8	1 4	0.0051572200000000006
151	1 36	1 40	1 8	1 4	0.00295271
152	1 10	1 11	1 9	1 8	0.5773725000000001
153	1 11	1 12	1 9	1 8	0.17538399999999998
154	1 12	1 13	1 9	1 8	0.07845145
155	1 13	1 14	1 9	1 8	0.0413961
156	1 14	1 15	1 9	1 8	0.023831449999999997
157	1 15	1 16	1 9	1 8	0.0130811
158	1 16	1 17	1 9	1 8	0.008642110000000001
159	1 11	1 13	1 9	1 7	0.36622699999999997
160	1 13	1 15	1 9	1 7	0.09996365
161	1 15	1 17	1 9	1 7	0.0343826
162	1 17	1 19	1 9	1 7	0.0139615
163	1 19	1 21	1 9	1 7	0.00908752
164	1 21	1 23	1 9	1 7	0.004066435
165	1 23	1 25	1 9	1 7	0.00294828
166	1 12	1 15	1 9	1 6	0.2551525
167	1 15	1 18	1 9	1 6	0.051505300000000004
168	1 18	1 21	1 9	1 6	0.01914055
169	1 21	1 24	1 9	1 6	0.007488985
170	1 24	1 27	1 9	1 6	0.0046572950000000005
171	1 27	1 30	1 9	1 6	0.0028320899999999998
172	1 30	1 33	1 9	1 6	0.00188845
173	1 13	1 17	1 9	1 5	0.182106
174	1 17	1 21	1 9	1 5	0.0345785
