19806
94	1 6	1 3	1 27	1 30	0.00128915	0.0026340533599894206
95	1 6	1 3	1 30	1 33	0.00023689500000000001	0.0037089597048779494
96	1 6	1 2	1 10	1 14	0.09754325	0.011846929969170666
97	1 6	1 2	1 14	1 18	0.0211753	0.005411614323505169
98	1 6	1 2	1 18	1 22	0.007969865	0.0034571950586616868
99	1 6	1 2	1 22	1 26	0.00419596	0.0025137671410437306
100	1 6	1 2	1 30	1 34	0.00123472	0.00383567374465496
101	1 6	1 2	1 34	1 38	0.000690757	0.004329781926280546
102	1 6	1 2	1 38	1 42	0.000456895	0.003905642114517276
103	1 6	1 1	1 11	1 16	0.07567445	0.006735207696447094
104	1 6	1 1	1 16	1 21	0.0167825	0.0038656620627731007
105	1 6	1 1	1 21	1 26	0.01004735	0.002548551402393039
106	1 6	1 1	1 31	1 36	0.00133985	0.0036873021445105528
107	1 6	1 1	1 36	1 41	0.0007805285	0.003979638095260682
108	1 6	1 1	1 41	1 46	0.0005089405	0.004693438574725401
109	1 6	1 1	1 46	1 51	0.000317062	0.005536571995832173
110	1 7	1 6	1 8	1 9	0.325257	0.019296726058349003
111	1 7	1 6	1 9	1 10	0.0763862	0.007235055694628884
112	1 7	1 6	1 10	1 11	0.03363145	0.01721069042160731
113	1 7	1 6	1 11	1 12	0.018957799999999997	0.003198911315040165
114	1 7	1 6	1 12	1 13	0.00944471	0.0020592101449026868
115	1 7	1 6	1 13	1 14	0.006844045	0.0016679436176504612
116	1 7	1 6	1 14	1 15	0.00430979	0.005850128436623948
117	1 7	1 6	1 15	1 16	0.00223474	0.002324579086058221
118	1 7	1 5	1 9	1 11	0.168094	0.012942786947755575
119	1 7	1 5	1 11	1 13	0.0472709	0.004967298429895311
120	1 7	1 5	1 13	1 15	0.0197409	0.004329958262153307
121	1 7	1 5	1 15	1 17	0.00793042	0.0038392651984302437
122	1 7	1 5	1 17	1 19	0.005089945	0.0037132620678252603
123	1 7	1 5	1 19	1 21	0.002945905	0.00288140038004117
124	1 7	1 5	1 21	1 23	0.00192142	0.00230020277888019
125	1 7	1 4	1 10	1 13	0.123792	0.01367728192491031
126	1 7	1 4	1 13	1 16	0.030271649999999997	0.005328040439362193
127	1 7	1 4	1 16	1 19	0.01203225	0.00512210920462638
128	1 7	1 4	1 19	1 22	0.00527061	0.003784475495230962
129	1 7	1 4	1 22	1 25	0.0023979300000000004	0.002403020311453114
130	1 7	1 4	1 25	1 28	0.00124763	0.0031333314083873153
131	1 7	1 4	1 28	1 31	0.0010199495	0.003390784076848956
132	1 7	1 4	1 31	1 34	0.000446164	0.003844832053024241
133	1 7	1 3	1 11	1 15	0.0964775	0.006668808216985486
134	1 7	1 3	1 15	1 19	0.02041325	0.003962614346651661
135	1 7	1 3	1 19	1 23	0.00786164	0.002628732734070633
136	1 7	1 3	1 23	1 27	0.002677115	0.0023866210175660053
137	1 7	1 3	1 27	1 31	0.001634675	0.0027525074392069524
138	1 7	1 3	1 31	1 35	0.0010075515	0.0035976406600390573
